feature,importance
bb_lower,0.08997497049600939
bb_upper,0.08582274270773152
atr,0.07112789545064646
ma_50,0.06925000738166597
ma_20,0.06671729544391358
vol_rolling_std_20,0.06430150343250486
ema_50,0.0629350796648015
obv,0.057132259338878943
dist_vwap,0.05361584420943763
momentum_12,0.052898704266283264
ma_10,0.05258846736535832
price_z,0.04734771953965362
macd,0.044987042660411695
rsi,0.04356713250265102
volume,0.03842046878243429
ret_1,0.03558280382587777
ret_6,0.033705808426223505
ret_3,0.030024254505516695
